0,1,2,3,4,5,6
complex,dct1,17,0.001,,0.34170883453244816,0.004680596674881524
complex,dct1,91193,0.001,,0.3417281196190253,0.00488142544409507
complex,dct2,17,0.001,,0.3774409305093735,0.00575027721865882
complex,dct2,91193,0.001,,0.3773863718113019,0.006029328713251719
complex,dct3,17,0.001,,0.4456805496689286,0.0031915880064995444
complex,dct3,91193,0.001,,0.4458083426526919,0.0033143733089129016
complex,gem,17,0.001,,7.899260391087162e-16,2.497965208594083e-14
complex,gem,91193,0.001,,5.826971817315574e-20,1.3022341299780911e-18
complex,glove,17,0.001,,0.08533361333958443,0.0016698581498800504
complex,glove,91193,0.001,,0.08528589166787283,0.0016474324396234205
complex,laser,17,0.001,,0.005869791134763005,0.00014503362489709336
complex,laser,91193,0.001,,0.005861593772434698,0.00015096352338328127
complex,random,17,0.001,,0.2710524589727226,0.003950256142304047
complex,random,91193,0.001,,0.2712545334751746,0.003810847746691908
complex,sentbert,17,0.001,,0.45481165821929526,0.0033717095387920393
complex,sentbert,91193,0.001,,0.45469575200418677,0.0034471586309348713
conve,dct1,17,0.001,,0.34142203750986727,0.004690918187876545
conve,dct1,91193,0.001,,0.3414434873815229,0.004897615882305274
conve,dct2,17,0.001,,0.377422262082321,0.005780188624795917
conve,dct2,91193,0.001,,0.37735969955803256,0.006063203733079949
conve,dct3,17,0.001,,0.4459562893993837,0.003206309323447933
conve,dct3,91193,0.001,,0.44608379389243746,0.0033293725970343266
conve,gem,17,0.001,,9.27977845015847e-16,2.934523307593253e-14
conve,gem,91193,0.001,,6.439903598097168e-20,1.4413776525281963e-18
conve,glove,17,0.001,,0.08398275914668736,0.0016745969004605117
conve,glove,91193,0.001,,0.08393961534537636,0.0016526235966847522
conve,laser,17,0.001,,0.004299220553740004,8.598626949396451e-05
conve,laser,91193,0.001,,0.0042960455486871375,9.015952107433405e-05
conve,random,17,0.001,,0.2711074065714312,0.003956472425091106
conve,random,91193,0.001,,0.2713092166511387,0.0038165957468642977
conve,sentbert,17,0.001,,0.45517258555579204,0.0033811153845329594
conve,sentbert,91193,0.001,,0.4550551858209474,0.0034528190222255983
distmult,dct1,17,0.001,,0.34173495564913275,0.004684959571737342
distmult,dct1,91193,0.001,,0.34175731051484703,0.004884692771912088
distmult,dct2,17,0.001,,0.37745383160057927,0.005750679028018785
distmult,dct2,91193,0.001,,0.37739420106227767,0.0060342773933618685
distmult,dct3,17,0.001,,0.44570057770768934,0.0031862294423985866
distmult,dct3,91193,0.001,,0.44582977910381155,0.0033119180100669872
distmult,gem,17,0.001,,7.935369008101113e-16,2.5093837496001962e-14
distmult,gem,91193,0.001,,5.805432140605855e-20,1.2987599379681206e-18
distmult,glove,17,0.001,,0.08537211379056266,0.001669227779816882
distmult,glove,91193,0.001,,0.08532088722046834,0.0016496031295328804
distmult,laser,17,0.001,,0.005924040262798241,0.000146489330108437
distmult,laser,91193,0.001,,0.005915736278616902,0.00015069812172112596
distmult,random,17,0.001,,0.2710520328543139,0.003950093030557866
distmult,random,91193,0.001,,0.2712539389086596,0.0038126030489405607
distmult,sentbert,17,0.001,,0.4547998317871644,0.0033760847999866903
distmult,sentbert,91193,0.001,,0.4546846937398824,0.0034485963570933735
rescal,dct1,17,0.001,,0.34154623079557944,0.004689641708353423
rescal,dct1,91193,0.001,,0.34156112313664927,0.004893781643812855
rescal,dct2,17,0.001,,0.37745016792895436,0.0057642538823883625
rescal,dct2,91193,0.001,,0.37738891171717187,0.006048082042221152
rescal,dct3,17,0.001,,0.4458261175894392,0.003197978995169004
rescal,dct3,91193,0.001,,0.44595208451857493,0.0033230046257804857
rescal,gem,17,0.001,,8.894390624708625e-16,2.81265298730935e-14
rescal,gem,91193,0.001,,5.799482126258853e-20,1.2965103102418636e-18
rescal,glove,17,0.001,,0.08463476539830407,0.0016673212051140798
rescal,glove,91193,0.001,,0.08460613702776788,0.0016377720626052708
rescal,laser,17,0.001,,0.005118368946183839,0.00011532705979237251
rescal,laser,91193,0.001,,0.005113763800392304,0.00012114634531792636
rescal,random,17,0.001,,0.27107545849842535,0.003953779859118146
rescal,random,91193,0.001,,0.27128040129571335,0.0038145630260368814
